TreatmentGroupID,MedicationName,MedicalCondition
2,benzoyl peroxide / tretinoin,acne
2,binora,acne
2,bp 10-wash,acne
2,bpo 6 foaming cloths,acne
2,bpo gel,acne
2,bp wash,acne
2,brevoxyl,acne
2,brevoxyl acne wash kit,acne
2,cerave sa renewing,acne
2,clarifoam ef,acne
2,clascoterone,acne
2,cleanse & treat,acne
2,cleanse & treat plus,acne
2,clearskin,acne
2,compound w,acne
2,dermalzone,acne
2,dhs salicylic acid 3%,acne
2,drospirenone / ethinyl estradiol / levomefolate calcium,acne
2,dulcolax milk of magnesia,acne
2,durasal,acne
2,enzoclear foam,acne
2,ethinyl estradiol / norethindrone,acne
2,ex-lax milk of magnesia,acne
2,fabior,acne
2,fostex,acne
2,fostex medicated,acne
2,fostex medicated cleansing cream,acne
2,fostex wash 10%,acne
2,hydrisalic,acne
2,inova,acne
2,inova 4/1,acne
2,inova 8/2,acne
2,jasmiel,acne
2,liquimat light,acne
2,liquimat medium,acne
2,lo-zumandimine,acne
2,meted,acne
2,mono-linyah,acne
2,neuac,acne
2,neutrogena clear pore cleanser/mask,acne
2,neutrogena rapid clear stubborn acne,acne
2,nikki,acne
2,oscion,acne
2,oxy-10,acne
2,oxy daily wash,acne
2,p & s,acne
2,panoxyl 4% acne creamy wash,acne
2,pernox,acne
2,persa-gel,acne
2,plexion,acne
2,propa ph acne med cleansing,acne
2,r a acne,acne
2,resinol,acne
2,resorcinol / sulfur,acne
2,resorcinol,acne
2,retapamulin,acne
2,riax,acne
2,sal-plant gel,acne
2,salactic film,acne
2,salex,acne
2,salicylic acid/sulfur,acne
2,salvax,acne
2,sarecycline,acne
2,sastid,acne
2,scalpicin scalp relief,acne
2,sebulex,acne
2,soluclenz rx,acne
2,sss 10-4,acne
2,sss 10-5,acne
2,sss cleanser,acne
2,stri-dex,acne
2,stridex body focus,acne
2,stridex maximum strength,acne
2,sulfacleanse 8/4,acne
2,sulfoam,acne
2,sulfur,acne
2,sulpho-lac soap,acne
2,sumadan,acne
2,sumaxin,acne
2,suphera,acne
2,syeda,acne
2,tinamed plantar,acne
2,tri-estarylla,acne
2,tri-linyah,acne
2,tri-lo-marzia,acne
2,trifarotene,acne
2,twyneo,acne
2,vanoxide-hc,acne
2,winlevi,acne
2,z-clinz 10,acne
2,zarah,acne
2,zumandimine,acne
3,vyvanse,adhd
3,adderall,adhd
3,adderall xr,adhd
3,concerta,adhd
3,lisdexamfetamine,adhd
3,daytrana,adhd
3,quillivant xr,adhd
3,amantadine,adhd
3,cotempla xr-odt,adhd
3,jornay pm,adhd
3,methylphenidate,adhd
3,quillichew er,adhd
3,azstarys,adhd
3,qelbree,adhd
3,strattera,adhd
3,dexedrine,adhd
3,amphetamine / dextroamphetamine,adhd
3,ritalin,adhd
3,dextroamphetamine,adhd
3,bupropion,adhd
3,clonidine,adhd
3,intuniv,adhd
3,desoxyn,adhd
3,guanfacine,adhd
3,focalin,adhd
3,atomoxetine,adhd
3,focalin xr,adhd
3,amphetamine,adhd
3,ritalin la,adhd
3,kapvay,adhd
3,methylin,adhd
3,dexmethylphenidate,adhd
3,methamphetamine,adhd
3,modafinil,adhd
3,metadate cd,adhd
3,methylin er,adhd
3,omega-3 polyunsaturated fatty acids,adhd
3,procentra,adhd
3,selegiline,adhd
3,zenzedi,adhd
3,adhansia xr,adhd
3,aptensio xr,adhd
3,armodafinil,adhd
3,desvenlafaxine,adhd
3,evekeo,adhd
3,mydayis,adhd
3,relexxii,adhd
3,adzenys er,adhd
3,adzenys xr-odt,adhd
3,desipramine,adhd
3,dyanavel xr,adhd
3,evekeo odt,adhd
3,imipramine,adhd
3,dexmethylphenidate / serdexmethylphenidate,adhd
3,viloxazine,adhd
4,truvada,aids/hiv
4,biktarvy,aids/hiv
4,triumeq,aids/hiv
4,genvoya,aids/hiv
4,stribild,aids/hiv
4,atripla,aids/hiv
4,descovy,aids/hiv
4,norvir,aids/hiv
4,isentress,aids/hiv
4,dovato,aids/hiv
4,tivicay,aids/hiv
4,abacavir / dolutegravir / lamivudine,aids/hiv
4,prezista,aids/hiv
4,bictegravir / emtricitabine / tenofovir alafenamide,aids/hiv
4,cobicistat / elvitegravir / emtricitabine / tenofovir,aids/hiv
4,cabenuva,aids/hiv
4,dolutegravir / lamivudine,aids/hiv
4,emtricitabine / tenofovir alafenamide,aids/hiv
4,complera,aids/hiv
4,reyataz,aids/hiv
4,epzicom,aids/hiv
4,ritonavir,aids/hiv
4,lamivudine,aids/hiv
4,tenofovir,aids/hiv
4,viread,aids/hiv
4,dolutegravir,aids/hiv
4,kaletra,aids/hiv
4,epivir,aids/hiv
4,intelence,aids/hiv
4,sustiva,aids/hiv
4,abacavir,aids/hiv
4,efavirenz / emtricitabine / tenofovir,aids/hiv
4,emtricitabine / tenofovir,aids/hiv
4,darunavir,aids/hiv
4,efavirenz,aids/hiv
4,odefsey,aids/hiv
4,raltegravir,aids/hiv
4,abacavir / lamivudine,aids/hiv
4,prezcobix,aids/hiv
4,viramune,aids/hiv
4,combivir,aids/hiv
4,ziagen,aids/hiv
4,zidovudine,aids/hiv
4,atazanavir,aids/hiv
4,emtricitabine,aids/hiv
4,emtriva,aids/hiv
4,edurant,aids/hiv
4,lexiva,aids/hiv
4,nevirapine,aids/hiv
4,retrovir,aids/hiv
4,selzentry,aids/hiv
4,juluca,aids/hiv
4,symtuza,aids/hiv
4,trizivir,aids/hiv
4,epivir-hbv,aids/hiv
4,etravirine,aids/hiv
4,isentress hd,aids/hiv
4,lamivudine / tenofovir,aids/hiv
4,lopinavir / ritonavir,aids/hiv
4,maraviroc,aids/hiv
4,tivicay pd,aids/hiv
4,viramune xr,aids/hiv
4,accesspak for hiv pep basic,aids/hiv
4,delstrigo,aids/hiv
4,efavirenz / lamivudine / tenofovir,aids/hiv
4,emtricitabine / rilpivirine / tenofovir,aids/hiv
4,evotaz,aids/hiv
4,fuzeon,aids/hiv
4,lamivudine / zidovudine,aids/hiv
4,pifeltro,aids/hiv
4,viracept,aids/hiv
4,abacavir / lamivudine / zidovudine,aids/hiv
4,aptivus,aids/hiv
4,cimduo,aids/hiv
4,cobicistat / darunavir,aids/hiv
4,cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,aids/hiv
4,cobicistat,aids/hiv
4,doravirine,aids/hiv
4,elvitegravir,aids/hiv
4,enfuvirtide,aids/hiv
4,ibalizumab,aids/hiv
4,immune globulin intravenous,aids/hiv
4,invirase,aids/hiv
4,nelfinavir,aids/hiv
4,rilpivirine,aids/hiv
4,rukobia,aids/hiv
4,saquinavir,aids/hiv
4,symfi,aids/hiv
4,symfi lo,aids/hiv
4,temixys,aids/hiv
4,trogarzo,aids/hiv
4,tybost,aids/hiv
4,accesspak for hiv pep expanded with kaletra,aids/hiv
4,accesspak for hiv pep expanded with viracept,aids/hiv
4,atazanavir / cobicistat,aids/hiv
4,cabotegravir / rilpivirine,aids/hiv
4,cabotegravir,aids/hiv
4,cobicistat / darunavir / emtricitabine / tenofovir alafenamide,aids/hiv
4,dolutegravir / rilpivirine,aids/hiv
4,doravirine / lamivudine / tenofovir,aids/hiv
4,emtricitabine / lopinavir / ritonavir / tenofovir,aids/hiv
4,emtricitabine / nelfinavir / tenofovir,aids/hiv
4,emtricitabine / rilpivirine / tenofovir alafenamide,aids/hiv
4,fosamprenavir,aids/hiv
4,fostemsavir,aids/hiv
4,lamivudine / nevirapine / zidovudine,aids/hiv
4,tipranavir,aids/hiv
4,triumeq pd,aids/hiv
4,vocabria,aids/hiv
5,hydroxyzine,allergies
5,levocetirizine,allergies
5,loratadine,allergies
5,xyzal,allergies
5,doxylamine,allergies
5,corticotropin,allergies
5,acthar,allergies
5,chlorpheniramine / ibuprofen / phenylephrine,allergies
5,dexbrompheniramine,allergies
5,ala-hist ir,allergies
5,dexbrompheniramine / phenylephrine,allergies
5,equaline sleep aid,allergies
5,equate sleep aid,allergies
5,h.p. acthar gel,allergies
6,aricept,alzheimer's
6,donepezil,alzheimer's
6,namenda,alzheimer's
6,memantine,alzheimer's
6,etanercept,alzheimer's
6,exelon,alzheimer's
6,galantamine,alzheimer's
6,namenda xr,alzheimer's
6,rivastigmine,alzheimer's
6,aricept odt,alzheimer's
6,namzaric,alzheimer's
6,vitamin e,alzheimer's
6,donepezil / memantine,alzheimer's
6,razadyne,alzheimer's
6,razadyne er,alzheimer's
6,adlarity,alzheimer's
6,hydergine,alzheimer's
6,alpha e,alzheimer's
6,ergoloid mesylates,alzheimer's
6,aduhelm,alzheimer's
6,aqua gem-e,alzheimer's
6,aquasol e,alzheimer's
6,e-400 clear,alzheimer's
6,e-600,alzheimer's
6,e-gems,alzheimer's
6,e pherol,alzheimer's
6,aducanumab,alzheimer's
7,aspirin,angina
7,nitroglycerin,angina
7,ranexa,angina
7,metoprolol,angina
7,isosorbide mononitrate,angina
7,amlodipine,angina
7,nitrostat,angina
7,ranolazine,angina
7,enoxaparin,angina
7,isosorbide dinitrate,angina
7,atenolol,angina
7,carvedilol,angina
7,norvasc,angina
7,lopressor,angina
7,bayer aspirin,angina
7,coreg,angina
7,toprol-xl,angina
7,amlodipine / atorvastatin,angina
7,ecotrin,angina
7,propranolol,angina
7,easprin,angina
7,nitrolingual pumpspray,angina
7,verapamil,angina
7,bayer aspirin regimen,angina
7,caduet,angina
7,aspir-low,angina
7,katerzia,angina
7,lovenox,angina
7,norliqva,angina
7,arthritis pain,angina
7,ascriptin,angina
7,aspergum,angina
7,aspiritab,angina
7,aspirtab,angina
7,bayer aspirin extra strength plus,angina
7,ecpirin,angina
7,entercote,angina
7,genacote,angina
7,halfprin,angina
7,nitro-dur,angina
7,norwich aspirin,angina
7,tenormin,angina
7,vazalore,angina
7,coreg cr,angina
7,corgard,angina
7,heparin,angina
7,inderal la,angina
7,kapspargo sprinkle,angina
7,nitro-bid,angina
7,fragmin,angina
7,nadolol,angina
7,nitro td patch-a,angina
7,amyl nitrite,angina
7,angiomax,angina
7,bivalirudin,angina
7,calan sr,angina
7,dalteparin,angina
7,dilatrate-sr,angina
7,eptifibatide,angina
7,gonitro,angina
7,integrilin,angina
7,isochron,angina
7,isoditrate,angina
7,isordil titradose,angina
7,minitran,angina
7,nitro-time,angina
7,nitromist,angina
7,timolol,angina
7,verelan,angina
7,verelan pm,angina
7,aspruzyo sprinkle,angina
8,xanax,anxiety
8,clonazepam,anxiety
8,alprazolam,anxiety
8,lorazepam,anxiety
8,buspirone,anxiety
8,diazepam,anxiety
8,ativan,anxiety
8,hydroxyzine,anxiety
8,lexapro,anxiety
8,buspar,anxiety
8,escitalopram,anxiety
8,valium,anxiety
8,gabapentin,anxiety
8,propranolol,anxiety
8,cymbalta,anxiety
8,bupropion,anxiety
8,effexor xr,anxiety
8,trazodone,anxiety
8,duloxetine,anxiety
8,paxil,anxiety
8,clonidine,anxiety
8,venlafaxine,anxiety
8,mirtazapine,anxiety
8,paroxetine,anxiety
8,alprazolam intensol,anxiety
8,lamotrigine,anxiety
8,tramadol,anxiety
8,atenolol,anxiety
8,risperidone,anxiety
8,tenormin,anxiety
8,tranxene,anxiety
8,lorazepam intensol,anxiety
8,clorazepate,anxiety
8,doxepin,anxiety
8,oxazepam,anxiety
8,paxil cr,anxiety
8,amitriptyline / perphenazine,anxiety
8,chlordiazepoxide,anxiety
8,desvenlafaxine,anxiety
8,diazepam intensol,anxiety
8,loreev xr,anxiety
8,oxcarbazepine,anxiety
8,pexeva,anxiety
8,phenytoin,anxiety
8,prochlorperazine,anxiety
8,amitriptyline / chlordiazepoxide,anxiety
8,compro,anxiety
8,corgard,anxiety
8,meprobamate,anxiety
8,nadolol,anxiety
8,nefazodone,anxiety
8,tranxene t-tab,anxiety
8,trifluoperazine,anxiety
8,vilazodone,anxiety
9,singulair,asthma
9,montelukast,asthma
9,prednisone,asthma
9,trelegy ellipta,asthma
9,fasenra,asthma
9,nucala,asthma
9,benralizumab,asthma
9,fluticasone / umeclidinium / vilanterol,asthma
9,mepolizumab,asthma
9,tezepelumab,asthma
9,tezspire,asthma
9,dulera,asthma
9,atrovent,asthma
9,breo ellipta,asthma
9,ipratropium,asthma
9,methylprednisolone,asthma
9,atrovent hfa,asthma
9,dexamethasone,asthma
9,alvesco,asthma
9,levalbuterol,asthma
9,ipratropium inhalation solution,asthma
9,rayos,asthma
9,fluticasone / vilanterol,asthma
9,formoterol / mometasone,asthma
9,medrol,asthma
9,methylprednisolone dose pack,asthma
9,triamcinolone,asthma
9,dexamethasone intensol,asthma
9,kenalog-40,asthma
9,medrol dosepak,asthma
9,depo-medrol,asthma
9,solu-medrol,asthma
9,xopenex,asthma
9,xopenex hfa,asthma
9,caffeine,asthma
9,ciclesonide,asthma
9,de-sone la,asthma
9,dxevo,asthma
9,dyphylline / guaifenesin,asthma
9,ipratropium inhalation aerosol,asthma
9,cinqair,asthma
9,reslizumab,asthma
9,salbutamol,asthma
9,xopenex concentrate,asthma
9,difil-g forte,asthma
10,lamictal,bipolar disorder
10,lamotrigine,bipolar disorder
10,latuda,bipolar disorder
10,seroquel,bipolar disorder
10,abilify,bipolar disorder
10,topiramate,bipolar disorder
10,vraylar,bipolar disorder
10,lithium,bipolar disorder
10,lurasidone,bipolar disorder
10,abilify maintena,bipolar disorder
10,cariprazine,bipolar disorder
10,caplyta,bipolar disorder
10,lumateperone,bipolar disorder
10,lybalvi,bipolar disorder
10,quetiapine,bipolar disorder
10,depakote,bipolar disorder
10,gabapentin,bipolar disorder
10,bupropion,bipolar disorder
10,clonazepam,bipolar disorder
10,seroquel xr,bipolar disorder
10,divalproex sodium,bipolar disorder
10,risperdal,bipolar disorder
10,geodon,bipolar disorder
10,oxcarbazepine,bipolar disorder
10,sertraline,bipolar disorder
10,zyprexa,bipolar disorder
10,risperidone,bipolar disorder
10,aripiprazole,bipolar disorder
10,depakote er,bipolar disorder
10,olanzapine,bipolar disorder
10,saphris,bipolar disorder
10,venlafaxine,bipolar disorder
10,citalopram,bipolar disorder
10,carbamazepine,bipolar disorder
10,duloxetine,bipolar disorder
10,escitalopram,bipolar disorder
10,ziprasidone,bipolar disorder
10,clonidine,bipolar disorder
10,symbyax,bipolar disorder
10,valproic acid,bipolar disorder
10,armodafinil,bipolar disorder
10,fluoxetine / olanzapine,bipolar disorder
10,lamictal odt,bipolar disorder
10,levetiracetam,bipolar disorder
10,lithobid,bipolar disorder
10,zyprexa zydis,bipolar disorder
10,asenapine,bipolar disorder
10,desvenlafaxine,bipolar disorder
10,equetro,bipolar disorder
10,iloperidone,bipolar disorder
10,lamictal cd,bipolar disorder
10,paliperidone,bipolar disorder
10,perphenazine,bipolar disorder
10,risperdal consta,bipolar disorder
10,tiagabine,bipolar disorder
10,verapamil,bipolar disorder
10,abilify mycite,bipolar disorder
10,depakote sprinkles,bipolar disorder
10,zyprexa intramuscular,bipolar disorder
10,olanzapine / samidorphan,bipolar disorder
11,mucinex,bronchitis
11,azithromycin,bronchitis
11,azithromycin dose pack,bronchitis
11,doxycycline,bronchitis
11,amoxicillin,bronchitis
11,guaifenesin,bronchitis
11,levofloxacin,bronchitis
11,augmentin,bronchitis
11,levaquin,bronchitis
11,zithromax,bronchitis
11,amoxicillin / clavulanate,bronchitis
11,clarithromycin,bronchitis
11,cefdinir,bronchitis
11,ciprofloxacin,bronchitis
11,amoxil,bronchitis
11,cefuroxime,bronchitis
11,avelox,bronchitis
11,cipro,bronchitis
11,bactrim,bronchitis
11,erythromycin,bronchitis
11,sulfamethoxazole / trimethoprim,bronchitis
11,bactrim ds,bronchitis
11,ceftin,bronchitis
11,ceftriaxone,bronchitis
11,apo-amoxi,bronchitis
11,beclomethasone,bronchitis
11,doxy 100,bronchitis
11,moxifloxacin,bronchitis
11,cefixime,bronchitis
11,mucinex maximum strength,bronchitis
11,vibramycin,bronchitis
11,cipro i.v.,bronchitis
11,cipro xr,bronchitis
11,doryx,bronchitis
11,doryx mpc,bronchitis
11,monodox,bronchitis
11,morgidox,bronchitis
11,oraxyl,bronchitis
11,robafen,bronchitis
11,septra ds,bronchitis
11,augmentin xr,bronchitis
11,biaxin xl,bronchitis
11,cefpodoxime,bronchitis
11,cefprozil,bronchitis
11,ery-tab,bronchitis
11,guaifenex g,bronchitis
11,septra,bronchitis
11,suprax,bronchitis
11,tetracycline,bronchitis
11,achromycin v,bronchitis
11,ala-tet,bronchitis
11,altarussin,bronchitis
11,amibid la,bronchitis
11,amoclan,bronchitis
11,ampicillin,bronchitis
11,balminil expectorant,bronchitis
11,benylin e,bronchitis
11,bidex-400,bronchitis
11,brodspec,bronchitis
11,cefzil,bronchitis
11,co-trimoxazole,bronchitis
11,dicloxacillin,bronchitis
11,drituss g,bronchitis
11,e.e.s. granules,bronchitis
11,eryc,bronchitis
11,eryped,bronchitis
11,erythrocin,bronchitis
11,erythrocin lactobionate,bronchitis
11,fenesin ir,bronchitis
11,floxin,bronchitis
11,gemifloxacin,bronchitis
11,guaifenex la,bronchitis
11,guiatuss,bronchitis
11,hytuss,bronchitis
11,mucinex for kids,bronchitis
11,ofloxacin,bronchitis
11,pce dispertab,bronchitis
11,scot-tussin expectorant,bronchitis
11,sulfatrim pediatric,bronchitis
11,tussin expectorant,bronchitis
11,xpect,bronchitis
11,zinacef,bronchitis
11,avelox i.v.,bronchitis
11,cefaclor,bronchitis
11,cilastatin / imipenem,bronchitis
11,difil-g forte,bronchitis
11,dycill,bronchitis
11,dynapen,bronchitis
11,dyphylline / guaifenesin,bronchitis
11,factive,bronchitis
11,primaxin iv,bronchitis
12,carboplatin,cancer
12,leukeran,cancer
12,chlorambucil,cancer
12,fluorouracil,cancer
12,doxorubicin,cancer
12,etoposide,cancer
12,cyclophosphamide,cancer
12,vincristine,cancer
12,cosmegen,cancer
12,etopophos,cancer
12,ifex,cancer
12,toposar,cancer
12,vinblastine,cancer
12,hycamtin,cancer
12,ifosfamide,cancer
12,dactinomycin,cancer
12,fludarabine,cancer
12,tepadina,cancer
12,thiotepa,cancer
12,topotecan,cancer
13,atorvastatin,cholesterol
13,simvastatin,cholesterol
13,lipitor,cholesterol
13,zetia,cholesterol
13,ezetimibe,cholesterol
13,crestor,cholesterol
13,repatha,cholesterol
13,alirocumab,cholesterol
13,evolocumab,cholesterol
13,praluent,cholesterol
13,rosuvastatin,cholesterol
13,pravastatin,cholesterol
13,lovastatin,cholesterol
13,zocor,cholesterol
13,gemfibrozil,cholesterol
13,vytorin,cholesterol
13,livalo,cholesterol
13,niacin,cholesterol
13,altocor,cholesterol
13,niaspan,cholesterol
13,welchol,cholesterol
13,altoprev,cholesterol
13,ezetimibe / simvastatin,cholesterol
13,fenofibric acid,cholesterol
13,slo-niacin,cholesterol
13,colesevelam,cholesterol
13,ezallor,cholesterol
13,flolipid,cholesterol
13,lopid,cholesterol
13,pitavastatin,cholesterol
13,amlodipine / atorvastatin,cholesterol
13,atorvastatin / ezetimibe,cholesterol
13,fluvastatin,cholesterol
13,lescol xl,cholesterol
13,mycophenolate mofetil,cholesterol
13,niacor,cholesterol
13,trilipix,cholesterol
13,caduet,cholesterol
13,ezetimibe / rosuvastatin,cholesterol
13,fibricor,cholesterol
13,inclisiran,cholesterol
13,juxtapid,cholesterol
13,leqvio,cholesterol
13,lomitapide,cholesterol
13,lypqozet,cholesterol
13,roszet,cholesterol
13,zypitamag,cholesterol
14,benadryl,colds & flu
14,diphenhydramine,colds & flu
14,vicks nyquil d cold and flu nighttime relief,colds & flu
14,vicks nyquil cold & flu nighttime relief,colds & flu
14,chlorpheniramine,colds & flu
14,coricidin hbp cold & flu,colds & flu
14,vicks dayquil severe cold & flu,colds & flu
14,benadryl allergy,colds & flu
14,vicks dayquil cold & flu relief,colds & flu
14,vicks nyquil severe cold & flu,colds & flu
14,promethazine dm,colds & flu
14,tylenol cold & flu severe,colds & flu
14,vicks vaporub,colds & flu
14,coricidin hbp maximum strength flu,colds & flu
14,theraflu nighttime severe cold & cough,colds & flu
14,acetaminophen / chlorpheniramine / phenylephrine,colds & flu
14,sudafed pe cold & cough,colds & flu
14,banophen,colds & flu
14,benadryl allergy plus cold,colds & flu
14,pseudoephedrine / triprolidine,colds & flu
14,tussionex pennkinetic,colds & flu
14,chlor-trimeton,colds & flu
14,diphedryl,colds & flu
14,diphen,colds & flu
14,complete allergy relief,colds & flu
14,tylenol cold,colds & flu
14,allermax,colds & flu
14,bronkaid,colds & flu
14,dicopanol,colds & flu
14,dytuss,colds & flu
14,mucinex fast-max night time cold & flu,colds & flu
14,scot-tussin allergy,colds & flu
14,siladryl allergy,colds & flu
14,sudafed pe sinus & allergy,colds & flu
14,twilite,colds & flu
14,tylenol cold multi-symptom severe,colds & flu
14,valu-dryl,colds & flu
14,vanamine pd,colds & flu
14,virtussin dac,colds & flu
14,benadryl allergy plus sinus headache,colds & flu
14,primatene,colds & flu
14,acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,colds & flu
14,acetaminophen / dextromethorphan / guaifenesin / phenylephrine,colds & flu
14,acetaminophen / dextromethorphan / phenylephrine,colds & flu
14,aller-chlor,colds & flu
14,allergy relief,colds & flu
14,brompheniramine,colds & flu
14,mucinex fast-max severe cold,colds & flu
14,mucinex fast-max severe congestion & cold,colds & flu
14,sudafed pe pressure+pain+cold,colds & flu
14,sudafed pe severe cold,colds & flu
14,tylenol cold max day,colds & flu
14,vicks nyquil cold & flu nighttime relief (alcohol free),colds & flu
14,wal-finate,colds & flu
14,acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,colds & flu
14,acetaminophen / chlorpheniramine,colds & flu
14,actifed cold and allergy,colds & flu
14,advil allergy sinus,colds & flu
14,alka-seltzer plus cold formula sparkling original effervescent tablets,colds & flu
14,aprodine,colds & flu
14,aspirin / chlorpheniramine / phenylephrine,colds & flu
14,c.p.m.,colds & flu
14,camphor / eucalyptus / menthol,colds & flu
14,cheratussin dac,colds & flu
14,chlo-amine,colds & flu
14,chlor-mal,colds & flu
14,chlorpheniramine / hydrocodone,colds & flu
14,chlorpheniramine / phenylephrine,colds & flu
14,chlortan,colds & flu
14,codeine / guaifenesin / pseudoephedrine,colds & flu
14,coricidin hbp nighttime multi-symptom cold,colds & flu
14,dextromethorphan / promethazine,colds & flu
14,diphenhydramine / phenylephrine,colds & flu
14,drixoral cold and allergy,colds & flu
14,ed-chlortan,colds & flu
14,ed a-hist,colds & flu
14,ed chlorped,colds & flu
14,ed chlor ped jr.,colds & flu
14,ephedrine / guaifenesin,colds & flu
14,robitussin peak cold nighttime nasal relief,colds & flu
14,theraflu daytime severe cold & cough,colds & flu
14,tussicaps,colds & flu
14,tylenol cold multi-symptom nighttime,colds & flu
14,a-phedrin,colds & flu
14,acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,colds & flu
14,acetaminophen / dextromethorphan / doxylamine / phenylephrine,colds & flu
14,acetaminophen / dextromethorphan / doxylamine,colds & flu
14,acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,colds & flu
14,acetaminophen / dextromethorphan / pseudoephedrine,colds & flu
14,acetaminophen / diphenhydramine / phenylephrine,colds & flu
14,acetaminophen / pheniramine / phenylephrine,colds & flu
14,advil congestion relief,colds & flu
14,advil sinus congestion & pain,colds & flu
14,ala-hist pe,colds & flu
14,alka-seltzer plus-d multi-symptom sinus & cold liquid gels,colds & flu
14,allergy multi-symptom,colds & flu
14,biotussin dac,colds & flu
14,bromatan plus,colds & flu
14,bromax,colds & flu
14,camphor,colds & flu
14,capron dm,colds & flu
14,children's triacting night time,colds & flu
14,childrens tylenol cold plus cough,colds & flu
14,chlo hist,colds & flu
14,chlophedianol / pyrilamine,colds & flu
14,chlorpheniramine / ibuprofen / pseudoephedrine,colds & flu
14,chlorpheniramine / phenylephrine / pyrilamine,colds & flu
14,cold multi-symptom (nighttime),colds & flu
14,comtrex cold and cough maximum strength,colds & flu
14,comtrex cold and flu maximum strength tablet,colds & flu
14,contac cold + flu (night formula),colds & flu
14,delsym cough+ cold day time,colds & flu
14,delsym cough+ cold night time,colds & flu
14,deltuss dmx,colds & flu
14,dexbrompheniramine / pseudoephedrine,colds & flu
14,dextromethorphan / phenylephrine / pyrilamine,colds & flu
14,dextromethorphan / phenylephrine / triprolidine,colds & flu
14,diabetic tussin night time formula,colds & flu
14,dologen,colds & flu
14,doxylamine / phenylephrine,colds & flu
14,dristan cold multi symptom formula,colds & flu
14,flutabs,colds & flu
